actorId,name,isFemale,categoryType,voiceAge,languageName,countryName,audioSampleLink
155,Ostap,False,Premium,Middle Aged,Ukrainian (Ukraine),Ukraine,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/ba519bed-563c-48c0-91b4-15b2070f0f22.mp3
156,Polina,True,Premium,Middle Aged,Ukrainian (Ukraine),Ukraine,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/ef070e83-f7ff-4c30-9d53-898ad0324a5d.mp3
157,Asad,False,Premium,Middle Aged,Urdu (Pakistan),Pakistan,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/Missing%20preview%20voice/Asad.mp3
158,Uzma,True,Premium,Middle Aged,Urdu (Pakistan),Pakistan,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/Missing%20preview%20voice/Uzma.mp3
159,HoaiMy,True,Premium,Middle Aged,Vietnamese (Vietnam),Vietnam,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/Missing%20preview%20voice/HoaiMy.mp3
160,NamMinh,False,,,Vietnamese (Vietnam),Vietnam,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/Missing%20preview%20voice/NamMinh.mp3
161,Xiaoxiao ,True,Premium,Middle Aged,"Chinese (Mandarin, Simplified)","Mandarin, Simplified",https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/fdcb9bc1-9a83-4dc8-9a92-50da6493248b.mp3
162,Yunyang ,False,Premium,Middle Aged,"Chinese (Mandarin, Simplified)","Mandarin, Simplified",https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/85669180-da7d-4dc2-8535-958237a66947.mp3
163,Xiaoha,True,Premium,Middle Aged,"Chinese (Mandarin, Simplified)","Mandarin, Simplified",https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/fbc19e83-b75c-41ea-9424-8756de4055c1.mp3
164,Xiaomo,True,,,"Chinese (Mandarin, Simplified)","Mandarin, Simplified",https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/8a4c732e-3144-4e05-8b53-9fcbf6db46d5.mp3
